set_num,name,num_parts
3308-1,Tribune,85
3309-1,Head Tribune,95
3310-1,Commentator and Press Box,94
331-1,Dump Truck,45
3311-1,Camera Tower,100
3312-1,Medic's Station,78
3313-1,Light Poles,101
3314-1,Stadium Security,143
3315-1,Olivia’s House,733
3316-1,"Advent Calender 2012, Friends",24
3316-10,"Advent Calendar 2012, Friends (Day 9) - Breakfast",8
3316-11,"Advent Calendar 2012, Friends (Day 10) - Sled Trailer #1",10
3316-12,"Advent Calendar 2012, Friends (Day 11) - Present for Dog",8
3316-13,"Advent Calendar 2012, Friends (Day 12) - Dog",1
3316-14,"Advent Calendar 2012, Friends (Day 13) - Stool and Plate with Candies",9
3316-15,"Advent Calendar 2012, Friends (Day 14) - Dog Basket with Bone",9
3316-16,"Advent Calendar 2012, Friends (Day 15) - Sled Trailer #2",8
3316-17,"Advent Calendar 2012, Friends (Day 16) - Basket with Broom and Snow Balls",6
3316-18,"Advent Calendar 2012, Friends (Day 17) - Mailbox with Letter",8
3316-19,"Advent Calendar 2012, Friends (Day 18) - Lime/White Present With Letter",8
3316-2,"Advent Calendar 2012, Friends (Day 1) - Olivia, Long Sleeve Chrismas Top",4
3316-20,"Advent Calendar 2012, Friends (Day 19) - Handbag",1
3316-21,"Advent Calendar 2012, Friends (Day 20) - Flower Arrangement",8
3316-22,"Advent Calendar 2012, Friends (Day 21) - Fireplace",21
3316-23,"Advent Calendar 2012, Friends (Day 22) - Christmas Tree",18
3316-24,"Advent Calendar 2012, Friends (Day 23) - Medium Blue/White Present with Letter",11
3316-25,"Advent Calendar 2012, Friends (Day 24) - Corner Table with Beauty Accessories",11
3316-3,"Advent Calendar 2012, Friends (Day 2) - Sled",9
3316-4,"Advent Calendar 2012, Friends (Day 3) - Street Light with Garland",12
3316-5,"Advent Calendar 2012, Friends (Day 4) - Skis and Ski Poles",4
3316-6,"Advent Calendar 2012, Friends (Day 5) - Snowman",7
3316-7,"Advent Calendar 2012, Friends (Day 6) - Christina, Red Christmas Outfit",4
3316-8,"Advent Calendar 2012, Friends (Day 7) - Friends Accessories",20
3316-9,"Advent Calendar 2012, Friends (Day 8) - Table with Stool",9
3317-1,German National Player,4
3318-1,English Player,4
3320-1,Austrian Player,4
332-1,Tow Truck,56
3323-1,Kaufhof Promotional Set: German National Player and Ball,5
3324-1,Kaufhof Promotional Set: World Team Player and Ball,5
3330-1,Racing Car,17
333-1,Basic Set,100
3331-1,Bird,14
333-2,Delivery Truck,68
3332-1,Plane,18
3333-1,Helicopter,17
3340-1,Star Wars #1 - Sith Minifig Pack,30
334-1,Truck with Flatbed,72
3341-1,Star Wars #2 - Luke/Han/Boba Minifig Pack,25
3342-1,Star Wars #3 - Troopers/Chewie Minifig Pack,25
3343-1,Star Wars #4 - Battle Droid Minifig Pack,33
3344-1,One Minifig Pack - Ninja #1,10
3345-1,Three Minifig Pack - Ninja #2,24
3346-1,Three Minifig Pack - Ninja #3,26
3347-1,One Minifig Pack - Rock Raiders #1,8
3348-1,Three Minifig Pack - Rock Raiders #2,23
3349-1,Three Minifig Pack - Rock Raiders #3,29
3350-1,City #1,27
335-1,Basic Building Set,245
3351-1,Three Minifig Pack - City #2,24
335-2,Transport Truck,99
336-1,Fire Engine,76
3365-1,Moon Buggy,37
3366-1,Satellite Launcher,164
3367-1,Space Shuttle,230
3368-1,Rocket Launch Center,498
337-1,Basic Building Set,225
337-2,Truck with Crane and Caterpillar Track,92
3380-1,Johnny Thunder Chupa Chups Promotional,5
338-1,Ambulance,74
3381-1,Lord Sam Sinister Chupa Chups Promotional,5
338-2,Blondi the Pig and Taxi Station,33
3382-1,Jing Lee the Wanderer Chupa Chups Promotional,4
3383-1,Chef,6
3384-1,Train Worker Chupa Chups Promotional,4
3385-1,Conductor Charlie,6
3386-1,Xtreme Stunts Pepper Roni Chupa Chups Promotional,4
3387-1,Xtreme Stunts Brickster Chupa Chups Promotional,4
3388-1,Xtreme Stunts Snap Lockitt Chupa Chups Promotional,4
3389-1,Skateboarder Bill Chupa Chups Promotional,7
3390-1,Basketball Street Player Chupa Chups Promotional,5
3391-1,"Dash, Mission Deep Sea, Chupa Chups Promotional",9
4-Mar,Basic Set,191
340-1,Basic Building Set,220
3401-1,Shoot 'n' Score - without ZIDANE / Adidas Minifig,24
3401-2,Shoot 'n' Score - with ZIDANE / Adidas Minifig,24
340-2,Fire Trucks,277
3402-1,Grandstand with Lights,60
340-3,Railroad Control Tower,74
3403-1,Fans' Grandstand with Scoreboard,80
3404-1,Black Bus,130
3405-1,Blue Bus,130
3406-1,Americas Bus,130
3407-1,Red Bus,130
3408-1,Super Sports Coverage,224
3409-1,Championship Challenge,293
3409-2,Championship Challenge - Special Edition with Orange Players,1
3409-3,Championship Challenge,295
3410-1,Field Expander,52
341-1,Warehouse,123
3411-1,Team Transport Bus,131
341-2,Cathy Cat's & Morty Mouse's Cottage,115
3412-1,Point Shooting,24
3413-1,Goal Keeper,27
3414-1,Precision Shooting,22
3416-1,Women's Team,67
3418-1,Point Shooting,24
3419-1,Precision Shooting,23
3420-1,Championship Challenge II,387
3420-2,Championship Challenge II - FC Bayern Promo Edition,387
3420-3,Championship Challenge II - L'Equipe de France Promo Edition,387
3420-4,Championship Challenge II - Sports Edition,387
342-1,Station,191
3421-1,3 v 3 Shootout,224
3422-1,Shoot 'N Save (non-promo),110
3422-2,Shoot 'N Save (FC Bayern Promo Edition),114
3423-1,Freekick Frenzy,52
3424-1,Target Practice,36
3425-1,Grand Championship Cup - U.S. Men's Team Cup Edition,568
3425-2,Grand Championship Cup,568
3426-1,Team Transport Bus Adidas Edition,131
3427-1,NBA Slam Dunk,55
3428-1,One vs One Action,39
3429-1,Ultimate Defense,82
3430-1,Spin & Shoot,70
343-1,Train Ferry,147
3431-1,Streetball 2 vs 2,186
3432-1,NBA Challenge,450
3433-1,NBA Ultimate Arena,490
3438-1,McDonald's Restaurant,93
3439-1,Spy Runner,105
3440-1,NBA Jam Session Co-Pack,71
344-1,Bungalow,77
344-2,Service Station,84
3442-1,"Legoland California Truck, Limited Edition",104
3444-1,2 x 4 Ridge Roof Tiles Steep Sloped Black,25
3445-1,2 x 4 Ridge Roof Tiles Steep Sloped Red,25
3446-1,2 x 2 Window White,25
3447-1,1 x 3 x 4 Wall Element Transparent Blue (Train Window),25
3448-1,1 x 4 x 5 Black Window Frames with Clear Panes,20
3449-1,1 x 4 x 6 Black Door Frame with Transparent Blue Panes,10
3450-1,Statue of Liberty,2899
345-1,House with Mini Wheel Car,132
3451-1,Sopwith Camel,575
345-2,Small Bucket for Her,135
3453-1,2 x 2 Black Bricks,100
3454-1,2 x 2 Light Gray Bricks,100
3455-1,2 x 2 White Bricks,100
3456-1,2 x 2 Dark Green Bricks,100
3457-1,2 x 2 Red Bricks,100
3458-1,2 x 4 Black Bricks,50
3459-1,2 x 4 Light Gray Bricks,50
3460-1,2 x 4 White Bricks,50
346-1,Jumbo Jet,117
3461-1,2 x 4 Dark Green Bricks,50
346-2,House with Car,167
3462-1,2 x 4 Red Bricks,50
3463-1,2 x 8 Black Bricks,25
3464-1,2 x 8 Light Gray Bricks,25
3465-1,2 x 8 White Bricks,25
3466-1,2 x 8 Dark Green Bricks,25
3467-1,2 x 8 Red Bricks,25
3468-1,1 x 4 Black Bricks,50
3469-1,1 x 4 Light Gray Bricks,50
3470-1,1 x 4 White Bricks,50
347-1,Fire Station with Mini Cars,205
3471-1,1 x 4 Dark Green Bricks,50
347-2,Basic Building Set,330
3472-1,1 x 4 Red Bricks,50
347-3,Doc David's Hospital,100
3473-1,1 x 6 Black Bricks,50
3474-1,1 x 6 Light Gray Bricks,50
3475-1,1 x 6 White Bricks,50
3476-1,1 x 6 Dark Green Bricks,50
3477-1,1 x 6 Red Bricks,50
3478-1,1 x 8 Black Bricks,25
3479-1,1 x 8 Light Grey Bricks,25
3480-1,1 x 8 White Bricks,25
348-1,Garage with Automatic Doors,38
3481-1,1 x 8 Dark Green Bricks,25
3482-1,1 x 8 Red Bricks,25
3483-1,2 x 4 Black Plates,100
3484-1,2 x 4 White Plates,100
3485-1,2 x 4 Red Plates,100
3486-1,1 x 6 Black Plates,50
3487-1,1 x 6 White Plates,50
3488-1,1 x 6 Red Plates,50
3489-1,2 x 8 Black Plates,25
3490-1,2 x 8 White Plates,25
349-1,Swiss Chalet,81
3491-1,2 x 8 Red Plates,25
3492-1,2 x 2 Black Smooth Tiles,100
3493-1,2 x 2 White Smooth Tiles,100
3494-1,2 x 2 Red Smooth Tiles,100
3495-1,2 x 2 Roof Tiles Steep Sloped Black,100
3496-1,2 x 2 Roof Tiles Steep Sloped Red,100
3497-1,2 x 4 Roof Tile Black,50
3498-1,2 x 4 Roof Tile Red,50
3499-1,Small Spruce Trees,25
3500-1,Kobe Bryant,4
350-1,Spanish Villa,126
3501-1,Jet-Car,26
350-2,Basic Building Set,315
3502-1,Bi-Wing,24
350-3,Town Hall with Leonard Lion & Friends,134
3503-1,Mini-Sonic,22
3504-1,Hook-Truck,30
3505-1,Aeroplane,23
3506-1,Motorbike,26
3507-1,1 x 4 x 3 Wall Element Clear,25
3508-1,1 x 4 x 5 Black Window Frame with Blue Pane,20
35-1,Screws for Motor Case,2
3510-1,Polybag,25
351-1,Loader Hopper with Truck,170
3520-1,Forklift,39
352-1,Windmill and Lorry,142
3521-1,Racer,35
3529-1,Pau Gasol,4
3530-1,Tony Parker,4
353-1,Terrace House with Car and Garage,153
3531-1,Tri-Bike,29
3532-1,Jet-Ski,27
3535-1,Skateboard Street Park,68
3536-1,Snowboard Big Air Comp,81
3537-1,Skateboard Vert Park Challenge,91
3538-1,Snowboard Boarder Cross Race,196
3540-1,Puck Passer,45
354-1,Police Heliport,173
3541-1,Slap Shot,46
3542-1,Flip Shot,47
3543-1,Slammer Goalie,46
3544-1,Hockey Game Set,153
3545-1,Hockey Puck Feeder,151
3548-1,Slam Dunk Trainer,19
3548-2,Slam Dunk Trainer (Kabaya Promotional),19
3549-1,Practice Shooting,17
3549-2,Practice Shooting (Kabaya Promotional),17
3550-1,Jump and Shoot,17
3550-2,Jump and Shoot (Kabaya Promotional),17
355-1,Town Center Set with Roadways,332
3551-1,Dino-Jet,80
355-2,Basic Set,160
3552-1,Hover Sub with motor,126
3554-1,Helicopter,79
3555-1,Jeep,262
3557-1,Blue Player & Goal,33
3558-1,Red Player & Goal,33
3559-1,Red & Blue Player,40
3560-1,NBA Collectors #1,15
356-1,Swiss Villa,150
3561-1,NBA Collectors #2,15
356-2,Basic Building Set with Storage Case,331
3562-1,NBA Collectors #3,16
3563-1,NBA Collectors #4,15
3564-1,NBA Collectors #5,15
3565-1,NBA Collectors #6,15
3566-1,NBA Collectors #7,15
3567-1,NBA Collectors #8,15
3568-1,Soccer Target Practice,24
3569-1,Grand Soccer Stadium,382
3570-1,Street Soccer,199
357-1,Fire Station,236
3571-1,Blackmobile with motor,143
3573-1,Superstar Figure ,9
3578-1,NHL Championship Challenge,395
3579-1,Street Hockey,119
358-1,Rocket Base,276
3581-1,Formula Z Car in Storage Case,172
3582-1,Ant,258
3584-1,Rapid Return,47
3585-1,Snowboard Super Pipe,224
359-1,Environment Plate,1
3591-1,Heli-Transport (Rota-Beast),265
3594-1,Bob's Workshop,14
3598-1,XXL 2000 Canister,2000
3599-1,XXL 250 Canister,250
6-Mar,Medium House Set,158
3600-1,Build Your Own House Tub,1201
360-1,Gravel Quarry,211
3601-1,Elton Elephant,7
3602-1,Bianca Lamb and Stroller,4
3603-1,Boris Bulldog and Mailbox,4
3604-1,Marc Monkey and Wheelbarrow,4
3605-1,Ricky Racoon and his Scooter,2
361-1,Tea Garden Cafe with Baker's Van,214
361-2,Garage,79
3612-1,Wild Animals,32
3615-1,Percy Pig's Wheelbarrow,4
362-1,Windmill,211
3622-1,Rowboat,14
3623-1,Beauty Salon,25
3624-1,Flower Car,27
3625-1,Aeroplane,9
3626-1,Roger Raccoon's Sports Car,17
3627-1,Bonnie Rabbit's Flower Truck,24
3628-1,Perry Panda & Chester Chimp,5
3629-1,Barney Bear,17
3630-1,Sports Airplane,9
363-1,Hospital with Figures,229
3631-1,Orchestra,27
3633-1,Motor Boat,14
3634-1,Charlie Crow's Carry-All,18
3635-1,Bonnie Bunny's Camper,31
3636-1,Bedroom,21
3637-1,Gertrude Goat's Painter's Truck,15
3638-1,Buster Bulldog's Fire Engine,17
3639-1,Police Car,12
364-1,Harbour Scene,515
3641-1,Car & Camper,25
3642-1,Fire Engine,18
3643-1,Police Car,12
3644-1,Mayor's Car,11
3645-1,Classroom,26
3646-1,Kitchen,54
3647-1,School Room,44
3648-1,Police Chase,172
365-1,Wild West Scene,591
365-2,Build-N-Store Chest,337
3654-1,Country Cottage,44
3658-1,Police Helicopter,236
3659-1,Play Ground,17
3660-1,Fisherman's Cottage,28
366-1,Basic Set,184
3661-1,Bank & Money Transfer,408
3662-1,Bus,33
3663-1,Max Mouse's Carousel,22
3664-1,Police Station,63
3665-1,Ice Cream with Scooter,38
3666-1,Petrol Station,29
3667-1,Bakery,63
3668-1,Merry-Go-Round,48
3669-1,Fire & Police Station,32
3670-1,Service Station,54
367-1,Moon Landing,363
3671-1,Airport,55
3672-1,Hotel / Restaurant,60
3673-1,Steamboat,64
3674-1,Bonnie Bunny's New House,41
3675-1,General Store,106
3676-1,Catherine Cat's Fun Park,42
3677-1,Red Cargo Train,826
3678-1,The Fabuland House,114
3679-1,Mill with Shop,80
3680-1,Camping Caravan,24
368-1,Taxi Station,157
3681-1,Amusement Park,104
3682-1,Fire Station,153
3683-1,Amusement Park,91
369-1,Coast Guard Station,273
370-1,Police Headquarters,300
3701-1,Fisherman Cornelius Cat,3
3703-1,Peter Pig the Cook,3
3704-1,Marjorie Mouse,3
3706-1,Elmer Elephant,3
3707-1,Clover Cow,3
3708-1,Rufus Rabbit,4
3709-1,"Henry Horse, Carpenter",3
3710-1,Peter Panda Takes a Bath,3
371-1,Tipper Truck,47
3711-1,Pierre Pig and His Tuba,5
371-2,Motorized Truck Set,314
3712-1,Robby Rabbit and Accordion,5
371-3,Seaplane,115
3713-1,Drummer Gabriel Monkey,8
3714-1,Bricklayer Oscar Orangutan,7
3715-1,Flower Stand,20
3716-1,Office,9
3717-1,Fisherman,10
3718-1,Small Cafe,5
3719-1,Bus Stop,5
372-1,Texas Rangers,248
3721-1,Clive Crocodile on Skateboard,11
372-2,Tow Truck,53
3722-1,"Treasure Tomb, TRU exclusive",164
3723-1,Lego Minifigure,1849
3724-1,Lego Dragon,1538
3725-1,1 x 2 Brick Light Gray,100
3726-1,1 x 2 Brick Dark Gray,100
3727-1,1 x 2 Brick Tan,100
3729-1,2 x 4 Dark Gray Bricks,50
3730-1,2 x 4 Tan Bricks,50
373-1,Offshore Rig with Fuel Tanker,459
3731-1,Pumpkin Pack,87
373-2,Ambulance,65
3732-1,Castle Expander Pack,24
3733-1,Gray Windows with Clear Panes,20
3734-1,Train Windows with Panes Blue,20
3735-1,Grey Train Doors with Panes,20
3736-1,Blue Train Doors with Panes,20
3737-1,Train Accessories,15
3738-1,Large Spruce Trees,10
3739-1,Blacksmith Shop,629
3740-1,Small Locomotive,66
374-1,Fire Station,334
3741-1,Large Locomotive (base unit without color trim elements),91
374-2,Fire Engine,73
3742-1,Tender Basis (without color trim elements),41
3743-1,Locomotive Blue Bricks,106
3744-1,Locomotive Green Bricks,106
3745-1,Locomotive Black Bricks,106
3746-1,Locomotive Brown Bricks,106
3747-1,Locomotive Gray Bricks,106
3748-1,Light Unit for Train,4
3750-1,Life on Mars Accessories,48
3751-1,1 x 2 Brown Bricks,100
375-2,Castle,776
3752-1,1 x 6 Brown Bricks,50
375-3,Refrigerator Truck and Trailer,127
3753-1,2 x 2 Brown Bricks,100
3754-1,2 x 4 Brown Bricks,50
3755-1,2 x 4 Roof Tile Brown,50
3756-1,2 x 4 Brown Ridge Roof Tiles Steep Sloped,25
3758-1,35th Anniversary Bucket,600
3759-1,35th Anniversary Tub,1200
3760-1,35th Anniversary Bucket,417
376-1,Low-Loader with Excavator,91
3761-1,35th Anniversary Tub,842
376-2,Town House with Garden,244
377-1,Shell Service Station,190
377-2,Crane with Float Truck,90
3774-1,Bridge,26
3775-1,Points,2
378-1,Tractor,36
3781-1,Maximillian Mouse,5
3782-1,Photographer Patrick Parrot,5
3784-1,Hugo Hog the Tinker,5
3786-1,Buzzy Bulldog the Postman,7
3787-1,"Hannah Hippopotamus, Gardener",13
3788-1,Paulette Poodle's Living Room,15
3789-1,Police Motorcycle,7
379-1,Bus Station,177
3791-1,William Walrus,7
379-2,Car and Caravan,93
3792-1,Bedroom,16
3793-1,Buzzy Bulldog's Mailbox,11
3794-1,Police Motorcycle,16
3795-1,Kitchen,26
3796-1,Small Bakery,31
3797-1,Fire Chief Barty Bulldog,9
3798-1,Hanna's Garden,25
8-Mar,Mini-Wheel Model Maker No. 3,65
3800-1,Ultimate Builders Set,322
380-1,Village Set,7
3801-1,Ultimate Accessories,45
3803-1,Robotics Invention System Upgrade Kit (1.5),69
3804-1,"Robotics Invention System, Version 2.0",720
3805-1,Robotics Invention System Upgrade Kit (2.0),1
3806-1,Gigamesh G60,286
3807-1,Snaptrax S45,203
3808-1,Shadowstrike S70,236
3809-1,Technojaw T55,262
381-1,Lorry and Fork Lift Truck,86
381-2,Police Headquarters,372
3815-1,Heroic Heroes of the Deep,95
3816-1,Glove World,168
3817-1,The Flying Dutchman,242
3818-1,Bikini Bottom Undersea Party,469
382-1,Breakdown Truck and Car,91
3825-1,Krusty Krab,297
3826-1,Build-A-Bob,445
3827-1,Adventures in Bikini Bottom,576
3828-1,Air Temple,400
3829-1,Fire Nation Ship,724
3830-1,The Bikini Bottom Express,209
383-1,Truck with Excavator,102
3831-1,Rocket Ride,276
383-2,Knight's Tournament,210
3832-1,The Emergency Room,235
3833-1,Krusty Krab Adventures,208
3834-1,Good Neighbors at Bikini Bottom,423
3835-1,Robo Champ,119
3836-1,Magikus,109
3837-1,Monster 4,142
3838-1,Lava Dragon,136
3839-1,Race 3000,167
3840-1,Pirate Code,278
384-1,London Bus,110
3841-1,Minotaurus,223
3842-1,Lunar Command,277
3843-1,Ramses Pyramid,231
3844-1,Creationary,341
3845-1,Shave a Sheep,118
3846-1,UFO Attack,88
3847-1,Magma Monster,95
3848-1,Pirate Plank,122
3849-1,Orient Bazaar,204
3850031-1,Puffin,50
3850-1,Meteor Strike,185
385-1,Jeep CJ-5,58
3851-1,Atlantis Treasure,280
385-2,Build-N-Store Chest,450
3852-1,Sunblock,80
3853-1,Banana Balance,49
3854-1,Frog Rush,107
3855-1,Ramses Return,99
3856-1,Ninjago,247
3857-1,Draida Bay,101
3858-1,Waldurk Forest,231
3859-1,Caverns of Nathuz,223
3860-1,Castle Fortaan,312
386-1,Helicopter and Ambulance,142
3861-1,LEGO Champion,216
3862-1,Hogwarts,332
3863-1,Kokoriko,115
3864-1,Mini Taurus,165
3865-1,City Alarm,246
3866-1,Star Wars Battle of Hoth,305
3870-1,Takeshi Walker 1,29
387-1,Excavator and Dumper,159
3871-1,Ha-Ya-To Walker,21
3872-1,Robo Chopper,29
3874-1,Ilrion,245
3885-1,Hikaru Little Flyer,22
3885-2,Hikaru Little Flyer - Boxed Version,22
3885-3,Hikaru Little Flyer - Duracell 12 pack AA Battery Promotion,1
3886-1,Ryo Walker,19
3886-2,Ryo Walker - Boxed Version,19
3886-3,Ryo Walker - Duracell 12 pack AA Battery Promotion,1
3888-1,Three Eights,182
3900-1,Bracelet,20
390-1,Helicopter,24
390-2,1913 Cadillac,199
39-1,Motor Gearbox,1
391-1,1926 Renault,236
3911-1,Astronaut Key Chain,0
391-2,Police Car,22
3913-1,Darth Vader Key Chain,0
391407-1,Fire Spinner,21
3914-1,Luke Skywalker Key Chain,0
3915-1,Race Car Driver Key Chain,0
3916-1,Rock Raider Key Chain,0
3917-1,2 x 4 Brick - Red Key Chain,0
3918-1,Coast Guard Female Key Chain,0
3920-1,The Hobbit,394
392-1,Formula 1,196
392-2,Fire Engine,30
3922-1,Darth Maul Key Chain,0
3923-1,King Leo Key Chain,0
3924-1,Director Key Chain,0
3925-1,Brickster Key Chain,0
3926-1,Life on Mars Martian Key Chain,0
3928-1,Sandy Moondust Mars Rover Mission Astrobot Female,5
3929-1,Biff Starling Mars Rover Mission Astrobot Male,5
3930-1,Stephanie's Outdoor Bakery,45
393-1,Norton Motorcycle,133
3931-1,Emma's Splash Pool,43
393-2,Tow Truck,29
3932-1,Andrea’s Stage,83
3933-1,Olivia's Invention Workshop,86
3934-1,Mia’s Puppy House,83
3935-1,Stephanie’s Pet Patrol,73
3936-1,Emma’s Fashion Design Studio,77
3937-1,Olivia's Speedboat,64
3938-1,Andrea's Bunny House,64
3939-1,Mia's Bedroom,86
394-1,Harley-Davidson 1000cc,142
3942-1,Heartlake Dog Show,202
3948-1,Stormtrooper Key Chain,0
395-1,1909 Rolls-Royce,283
396-1,Thatcher Perkins Locomotive,433
3961-1,Johnny Thunder Key Chain,0
398-1,U.S.S. Constellation,973
3983-1,Captain Roger Key Chain,0
4000001-1,Moulding Machines,794
4000002-1,LOM Moulding 2011,174
4000005-1,Kornmarken Factory 2012,315
4000006-1,Production Kladno Campus 2012,278
4000007-1,Ole Kirk's House,909
4000008-1,LEGO Inside Tour Exclusive 2013 Edition – Villy Thomsen Truck,366
4000009-1,HMV 2013 Production,285
40000-1,Santa Claus in the Snow,159
4000010-1,LEGO House,250
4000011-1,Nyiregyhaza Factory,327
4000012-1,LEGO Inside Tour (LIT) Exclusive 2012 Edition - Piper Airplane,618
4000013-1,A LEGO Christmas Tale,394
4000014-1,The LEGOLAND Train,545
4000015-1,LOM Building B,215
4000016-1,Billund Airport,281
40001-1,Santa Claus,42
40002-1,Christmas Tree,61
40003-1,Snowman,44
40004-1,Heart 2010,26
40005-1,Bunny,81
40008-1,Snowman Building Set,64
40009-1,Holiday Building Set,85
400-1,Universal Building Set,317
40010-1,Santa with Sleigh Building Set,71
40011-1,Thanksgiving Turkey,52
40012-1,Halloween Pumpkin,18
40013-1,Halloween Ghost,18
40014-1,Halloween Bat,25
40015-1,Heart Book,51
40016-1,Valentine Letter Set,41
40017-1,Easter Basket,86
40018-1,Easter Bunny with Eggs,95
40019-1,Brickley,59
40020-1,Halloween Set,71
4002014-1,LEGO HUB Birds,466
4002015-1,Borkum Riffgrund 1,558
4002016-1,50 Years On Track,1142
4002-1,Riptide Racer,53
40021-1,Spiders Set,54
40022-1,Mini Santa Set,72
40023-1,Holiday Stocking,76
40024-1,Christmas Tree,77
40025-1,{Yellow Cab},44
40026-1,"Statue of Liberty (LEGO Store, Rockefeller Center, New York, NY)",38
40028-1,Mini Hogwarts Express,64
40029-1,Heart 2012,51
400-3,Small Wheels with Axles (The Building Toy),12
40030-1,Duck with Ducklings,51
40031-1,Bunny and Chick,52
40032-1,Witch,71
40033-1,Turkey,52
40034-1,Christmas Train,82
40035-1,Rocking Horse,49
40036-1,Monthly Mini Model Build January 2012 - Cobra,37
40037-1,Monthly Mini Model Build February 2012 - Hockey Player,43
40038-1,Monthly Mini Model Build March 2012 - Garden and Earthworm,33
40039-1,Monthly Mini Model Build May 2012 - Tulip,16
400-4,Small Wheels with Axles (System),12
40040-1,Monthly Mini Model Build July 2012 - Olympic Flame,15
40041-1,Monthly Mini Model Build December 2012 - Moose,27
40042-1,Monthly Mini Model Build October 2012 - Cat,25
40043-1,Monthly Mini Model Build April 2012 - Duck,24
40044-1,Monthly Mini Model Build June 2012 - Lawnmower,25
40045-1,Monthly Mini Model Build August 2012 - Shark,27
40045-2,"Monthly Mini Model Build Set - 2013 August, Shark [Europe]",27
40047-1,Monthly Mini Model Build September 2012 - Owl,41
40048-1,Birthday Cake,24
40049-1,Mini Sopwith Camel,65
4005-1,Tug Boat,65
40051-1,Valentine’s Day Heart Box,54
40052-1,Springtime Scene,88
40053-1,Easter Bunny with Basket,96
40054-1,Summer Scene,40
40055-1,Pumpkin,52
40056-1,Thanksgiving Feast,46
40057-1,Fall Scene,72
40058-1,Decorating The Tree,110
40059-1,Santa's Sleigh,77
40061-1,Monthly Mini Model Build January 2013 - Igloo,40
40062-1,Monthly Mini Model Build Set February 2013 - Log Cabin,59
40063-1,Monthly Mini Model Build March 2013 - Turtle,33
40064-1,Monthly Mini Model Build Set April 2013 - Lamb and Sheep,32
40065-1,Monthly Mini Model Build May 2013 - Kingfisher,21
40066-1,Monthly Mini Model Build June 2013 - Fisherman,38
40067-1,Monthly Mini Model Build July 2013 - Crab,37
40068-1,Monthly Mini Model Build August 2013 - Flamingo,31
40069-1,Monthly Mini Model Build September 2013 - Pirate,44
40070-1,Monthly Mini Model Build October 2013 - Witch,22
40071-1,Monthly Mini Model Build November 2013 - Tractor,44
40072,Monthly Mini Model Build December 2013 - Rocking Horse,32
40073-1,Panda,70
40076-1,Zombie Car,60
40077-1,Geoffrey,90
40078-1,Hot Dog Cart,39
40079-1,Mini VW T1 Camper Van,75
40080-1,Friends Pencil Holder,142
40081-1,LEGOLAND Picture Frame - Florida Edition,121
40081-2,LEGOLAND Picture Frame - Deutschland Edition,121
40081-3,LEGOLAND Picture Frame - Billund Edition,121
40081-4,LEGOLAND Picture Frame - Malaysia Edition,121
40081-5,LEGOLAND Picture Frame - Windsor Edition,121
40082-1,Christmas Tree Stand,115
40083-1,Christmas Tree Truck,118
40084-1,Hero Factory Weapon Pack,6
40085-1,LEGO Valentine,127
40086-1,LEGO Easter Bunny,106
40090-1,Halloween Bat,155
40091-1,Turkey,125
40092-1,Reindeer,139
40093-1,Snowman,140
40094-1,Monthly Mini Model Build January 2014 - Snowplough,44
40095-1,Monthly Mini Model Build February 2014 - Micro Manager,50
40096-1,Monthly Mini Model Build March 2014 - Spring Tree,62
40097-1,Monthly Mini Model Build April 2014 - Helicopter,44
40098-1,Monthly Mini Model Build May 2014 - Dragon,43
40099-1,Monthly Mini Model Build June 2014 - Jet-Ski,33
40-1,Universal Building Set,293
40100-1,Monthly Mini Model Build July 2014 - Surf Van,46
4010-1,Police Rescue Boat,82
40101-1,Monthly Mini Model Build August 2014 - Monkey,46
40102-1,Monthly Mini Model Build September 2014 - Aircraft,37
40103-1,Monthly Mini Model Build November 2014 - Rocket,48
40104-1,Monthly Mini Model October 2014 - Monster,36
40105-1,Monthly Mini Model Build December 2014 - Gingerbread House,54
40106-1,Elves' Workshop,115
40107-1,Ice Skating,129
40108-1,Balloon Cart,66
40109-1,MINI Cooper Mini Model,59
40110-1,Coin Bank,121
4011-1,Cabin Cruiser,90
40112-1,Model Catwalk,143
40114-1,LEGO Friends Buildable Jewelry Box,201
40115-1,LEGOLAND Entrance with Family,271
40116-1,Hero Factory Promo,31
40117-1,Hero Factory Villain Promo,28
40118-1,Buildable Brick Box 2x2,204
401-2,Large Wheels with Axles (The Building Toy),7
40120-1,Valentine's Day Dinner,114
4012-1,Wave Cops,99
40121-1,Painting Easter Eggs,157
40122-1,Trick or Treat,133
40123-1,Thanksgiving Feast,158
40124-1,Winter Fun,107
40125-1,Santa's Visit,167
40126-1,Monthly Mini Model Build January 2015 - Alien and Space Dog,55
40127-1,Monthly Mini Model Build February 2015 - Space Shuttle,39
40128-1,Monthly Mini Model Build March 2015 - Robot,50
40129-1,Monthly Mini Model Build April 2015 – UFO,39
401-3,Large Wheels with Axles (System),7
40130-1,Monthly Mini Model Build May 2015 - Koala,65
4013-1,Create and Imagine,1000
40131-1,Monthly Mini Model Build June 2015 - Parrot,55
40132-1,Whale July 2015,31
40133-1,Monthly Mini Model Build August 2015 - Kangaroo,49
40134-1,Monthly Mini Model Build September 2015 - Scuba Diver,45
40135-1,Monthly Mini Model Build October 2015 - Angler Fish,29
40136-1,Monthly Mini Model Build November 2015 - Shark,31
