set_num,name,num_parts
10193-1,Medieval Market Village,1616
10194-1,Emerald Night,1089
10195-1,Republic Dropship with AT-OT,1757
10196-1,Grand Carousel,3260
10197-1,Fire Brigade,2236
10198-1,Tantive IV,1408
10199-1,Winter Toy Shop,815
2-Oct,Universal Building Set,129
10200-1,Custom Car Garage,893
10201-1,Takutanuva,3
10202-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),6
10202-2,Ultimate Dume,3
10203-1,Voporak,3
10204-1,Vezon & Kardas,3
10205-1,Locomotive,231
102-1,4.5V Motor Set,24
10210-1,Imperial Flagship,1623
10211-1,Grand Emporium,2186
10212-1,Imperial Shuttle - UCS,2502
10213-1,Shuttle Adventure,1203
10213sup-1,Supplemental Pack for Shuttle Adventure Set 10213,29
10214-1,Tower Bridge,4295
10215-1,Obi-Wan's Jedi Starfighter - UCS,675
10216-1,Winter Village Bakery,686
10217-1,Diagon Alley,2031
10218-1,Pet Shop,2034
10219-1,Maersk Container Train,1232
10220-1,Volkswagen T1 Camper Van,1333
10221-1,Super Star Destroyer,3151
10222-1,Winter Village Post Office,821
10223-1,Kingdoms Joust,1574
10224-1,Town Hall,2771
10225-1,R2-D2,2130
10226-1,Sopwith Camel,877
10227-1,B-wing Starfighter,1484
10228-1,Haunted House,2062
10229-1,Winter Village Cottage,1490
10230-1,Mini Modulars,1358
10231-1,Shuttle Expedition,1229
10232-1,Palace Cinema,2192
10233-1,Horizon Express,1349
10234-1,Sydney Opera House,2988
10235-1,Winter Village Market [Initial Release],1259
10236-1,Ewok Village,2023
10237-1,The Tower of Orthanc,2360
10240-1,Red Five X-Wing Starfighter,1573
10241-1,Maersk Line Triple-E,1515
10242-1,Mini Cooper,1074
10242-2,Mini Cooper,1076
10243-1,Parisian Restaurant,2469
10244-1,Fairground Mixer,1743
10245-1,Santa’s Workshop,882
1024601-1,Adventurers Value Pack (TRU Exclusive),3
10246-1,Detective’s Office,2261
10247-1,Ferris Wheel,2463
10248-1,Ferrari F40,1157
10249-1,Winter Toy Shop,895
10250-1,Year Of The Snake,244
10251-1,Brick Bank,2383
10252-1,Volkswagen Beetle,1166
10253-1,Big Ben,4166
10254-1,Winter Holiday Train,737
10255-1,Assembly Square,4009
10257-1,Carousel,2669
10285-1,Compass Sensor for Mindstorms NXT,1
10287-1,Intelligent NXT Brick (Black),1
1029-1,Milk Delivery Truck - Tine,90
102A-1,Front-End Loader,64
102A-2,Front-End Loader,56
3-Oct,Locomotive Wheels,8
1030-1,TECHNIC I: Simple Machines Set,189
103-1,4.5V Motor Set with Rubber Tracks,24
1031-1,Building Cards - 1030,20
1032-1,TECHNIC II Set {4.5v},278
1033-1,Building Cards - 1032,20
1034-1,Teachers Resource Set,1534
1038-1,ERBIE the Robo-Car,120
1039-1,Manual Control Set 1,39
104-1,Replacement 4.5V Motor,1
1045-2,Educational LEGO Building Set,683
1049-1,Ships - 247 elements and 1 poster,238
10500-1,Horse Stable,44
10501-1,Zoo friends,5
10504-1,My First Circus,62
10505-1,Play House,83
10506-1,Train Accessory Set,24
10507-1,My First Train Set,52
10508-1,Deluxe Train Set,134
10509-1,Dusty and Chug,16
105-1,Canada Post Truck,65
10510-1,Ripslinger's Air Race,40
10511-1,Skipper's Flight School,49
10512-1,Jake's Treasure Hunt,22
10513-1,Never Land Hideout,37
10514-1,Jake's Pirate Ship Bucky,56
10515-1,Ariel's Undersea Castle,39
10516-1,Ariel's Magical Boat Ride,29
10517-1,My First Garden,37
10518-1,My First Construction Site,47
105-2,Building Set,150
10520-1,Big Front Loader,12
10521-1,Baby Calf,9
10522-1,Farm Animals,12
10524-1,Farm Tractor,29
10525-1,Big Farm,121
10526-1,Peter Pan's Visit,39
10527-1,Ambulance,14
10528-1,School Bus,26
10529-1,Truck,16
1053-1,Community Buildings,895
10531-1,Mickey Mouse and Friends,65
10532-1,My First Police Set,39
10538-1,Fire and Rescue Team,30
10539-1,Beach Racing,36
1054-1,Stena Line Ferry,211
10542-1,Sleeping Beauty's Fairy Tale,55
10543-1,Superman™ Rescue,19
10544-1,The Joker Challenge,40
10545-1,Batcave Adventure,59
10546-1,My First Shop,39
10550-1,Circus Transport,9
10552-1,Creative Cars,42
10553-1,Toddler Build and Play Cubes,17
10554-1,Toddler Build and Pull Along,15
10555-1,Creative Bucket,65
10557-1,Giant Tower,200
10558-1,Number Train,31
1056-1,Basic School Pack - 773 elements with teacher's manual,785
10561-1,Toddler Starter Building Set,37
10565-1,LEGO® DUPLO® Creative Suitcase,135
10566-1,Creative Picnic,52
10567-1,Toddler Build and Boat Fun,18
10568-1,Knight Tournament,16
10569-1,Treasure Attack,46
10570-1,LEGO® DUPLO® All-in-One-Gift-Set,30
10571-1,All-in-One-Pink-Box-of-Fun,65
10572-1,All-in-One-Box-of-Fun,65
10573-1,Creative Animals,25
10574-1,Creative Ice Cream,23
10575-1,Duplo Creative Building Cube,75
10576-1,Zoo Care,9
10577-1,Big Royal Castle,135
10579-1,Clubhouse Café,16
10580-1,Deluxe Box of Fun,95
10581-1,Forest: Ducks,13
10582-1,Forest: Animals,39
10583-1,Forest: Fishing Trip,30
10584-1,Forest: Park,102
10585-1,Mom and Baby,13
10586-1,Ice Cream Truck,11
10587-1,Café,51
10589-1,Rally Car,13
10590-1,Airport,29
10591-1,Fire Boat,19
10592-1,Fire Truck,26
10593-1,Fire Station,104
10594-1,Sofia the First™ Royal Stable,38
10595-1,Sofia the First™ Royal Castle,87
10596-1,Disney Princess™ Collection,63
10597-1,Mickey & Minnie Birthday Parade,24
10599-1,Batman Adventure,46
10600-1,Disney • Pixar Cars™ Classic Race,29
1060-1,Road Plates and Signs,30
10601-1,Delivery Vehicle,19
10602-1,Camping,37
10603-1,My First Bus,17
10604-1,Jake and the Never Land Pirates Treasure Island,25
10605-1,Doc McStuffins Rosie the Ambulance,16
10606-1,Doc McStuffins Backyard Clinic,39
10607-1,Spider-Man Web-Bike Workshop,13
10608-1,Spider-Man Spider Truck Adventure,28
106-1,UNICEF Van,59
1061-1,Single Disk Pack,1
10615-1,My First Tractor,12
10616-1,My First Playhouse,25
10617-1,My First Farm,26
10618-1,LEGO® DUPLO® Creative Building Box,69
1062-1,{Town Vehicles},158
10622-1,Large Creative Box,193
10623-1,Basic Bricks – Large,0
1063-1,Community Workers,169
1064-1,Dacta Buildings,0
1065-1,House Accessories - 182 elements,196
10654-1,XL Creative Brick Box,1599
10655-1,Monster Trucks,197
10656-1,My First LEGO Princess,88
10657-1,My First LEGO Set,148
10659-1,Blue Suitcase,152
10660-1,Pink Suitcase,157
1066-1,36 Little People + Accessories,174
10661-1,My First LEGO Fire Station,90
10662-1,LEGO Creative Bucket,607
10663-1,LEGO Creative Chest,607
10664-1,Creative Tower,1599
10665-1,Spider-Man: Spider-Car Pursuit,55
10666-1,Digger,75
10667-1,Construction,159
10668-1,The Princess Play Castle,149
10669-1,Turtle Lair,107
1067-1,Community Vehicles,251
10671-1,Fire Emergency,123
10672-1,Batman: Defend the Batcave,150
10673-1,Race Car Rally,349
10674-1,Pony Farm,305
10675-1,Police – The Big Escape,146
10676-1,Knights’ Castle,479
10677-1,Beach Excursion,74
10679-1,Pirate Treasure Hunt,57
10680-1,Garbage Truck,99
1068-1,Air Patrol,20
10681-1,Creative Building Cube,599
10682-1,Creative Suitcase,1016
10683-1,Road Work Truck,132
10684-1,Supermarket Suitcase,132
10685-1,Fire Suitcase,113
10686-1,Family House,226
10687-1,Spider-Man™ Hideout,137
1069-1,Speedboat,22
10692-1,Creative Bricks,220
10693-1,Creative Supplement,302
10693-1-s1,Rocket,12
10694-1,Creative Supplement Bright,302
10695-1,Creative Building Box,579
10696-1,Medium Creative Brick Box,483
10697-1,XXXL Box,1499
10698-1,Large Creative Brick Box,789
10699-1,Sand Baseplate,1
10700-1,Green Baseplate,1
1070-1,Stunt Flyer,20
10701-1,Gray Baseplate,1
10702-1,Creative Building Set,582
10703-1,Creative Builder Box,499
10704-1,Creative Box,900
10705-1,Creative Building Basket,999
10706-1,Blue Creative Box,78
10707-1,Red Creative Box,55
10708-1,Green Creative Box,66
10709-1,Orange Creative Box,60
107-1,4.5V Motor Set,31
107-2,Canada Post Mail Truck,138
10720-1,Police Helicopter Chase,63
10721-1,Iron Man vs Loki,66
10722-1,Snake Showdown,92
10723-1,Ariel's Dolphin Carriage,70
10724-1,Batman & Superman vs. Lex Luthor,164
10725-1,Lost Temple,171
10726-1,Stephanie's Horse Carriage,58
10727-1,Emma's Ice Cream Truck,136
10728-1,Mia's Vet Clinic,182
10729-1,Cinderella's Carriage,116
10734-1,Demolition Site,162
10735-1,Police Truck Chase,90
10736-1,Anna & Elsa's Frozen Playground,94
10737-1,Batman vs. Mr. Freeze,63
10740-1,Fire Patrol Suitcase,108
10746-1,Mia's Farm Suitcase,104
10747-1,Andrea and Stephanie's Beach Holiday,141
1075-1,LEGO People Supplementary Set,256
1076-1,Advent Calendar 1999,228
1076-10,Advent Calendar 1999 (Day  9) Fire Engine,10
1076-11,Advent Calendar 1999 (Day 10) Santa Minifig,5
1076-12,Advent Calendar 1999 (Day 11) Dog,8
1076-13,Advent Calendar 1999 (Day 12) Hippo,9
1076-14,Advent Calendar 1999 (Day 13) Hovercraft,10
1076-15,Advent Calendar 1999 (Day 14) Penguin,8
1076-16,Advent Calendar 1999 (Day 15) Elf,12
1076-17,Advent Calendar 1999 (Day 16) Seaplane,10
1076-18,Advent Calendar 1999 (Day 17) Gentleman,10
1076-19,Advent Calendar 1999 (Day 18) Elephant,10
1076-2,Advent Calendar 1999 (Day  1) Plane,11
1076-20,Advent Calendar 1999 (Day 19) Sea Plane,8
1076-21,Advent Calendar 1999 (Day 20) Cow,10
1076-22,Advent Calendar 1999 (Day 21) Police Car,11
1076-23,Advent Calendar 1999 (Day 22) Dog with Red Hat,12
1076-24,Advent Calendar 1999 (Day 23) Police Helicopter,10
1076-25,Advent Calendar 1999 (Day 24) Santa,11
1076-3,Advent Calendar 1999 (Day  2) Snowman,11
1076-4,Advent Calendar 1999 (Day  3) Speedboat,7
1076-5,Advent Calendar 1999 (Day  4) Girl,8
1076-6,Advent Calendar 1999 (Day  5) Sailboat,9
1076-7,Advent Calendar 1999 (Day  6) Reindeer,12
1076-8,Advent Calendar 1999 (Day  7) Plane,10
1076-9,Advent Calendar 1999 (Day  8) Girl,8
1077-1,Supplementary Set,170
10801-1,Baby Animals,13
10802-1,Savanna,15
10803-1,Arctic,32
10804-1,Jungle,86
10805-1,Around the World,148
10806-1,Horses,20
10808-1,Little Plane,13
108-1,Battery Box,1
10810-1,Push Train,46
10813-1,Big Construction Site,48
10814-1,Tow Truck Set,26
10818-1,My First Truck,29
10820-1,"Lego Duplo Creative Building Basket, Multi Color",110
10824-1,Miles' Space Adventures,23
10825-1,Miles' Exo-Flex Suit,37
10827-1,Mickey and Friends Beach House,48
10829-1,Mickey's Workshop,18
10830-1,Minnie's Cafe,27
1083-1,Supplementary Pack,106
10831-1,My First Caterpillar,19
10847-1,My First Number Train,19
10849-1,My First Plane,10
10852-1,My First Bird,7
1088-1,Road Burner,25
1089-1,Lego Basic Figures - 24 elements,24
1090-1,TECHNIC Control I,397
1092-1,TECHNIC Control II,467
10937-1,Arkham Asylum Breakout,1619
1094-1,Johnny Thunder,13
1095-1,Super Sub,24
1096-1,Race Buggy,23
1097-1,Res-Q Runner,18
1098-1,Hang Glider,19
1099-1,Ninja Blaster,24
10-Jan,Mini-Wheel Model Maker No. 1,86
1100-1,Sky Pirates,110
110-1,Universal Building Set,129
1101-1,Replacement 4.5V Motor,1
1102-1,Motor Bushes,4
1103-1,Battery Box,1
1103-2,DNA Student Set,521
1104-1,Battery Cables (75cm),2
1105-1,Crawler Tracks,2
1106-1,Battery Tender,2
1106-2,Basic Building Set,413
1107-1,Signal and Direction-Change Switch,4
1108-1,Magnetic Couplings,4
1109-1,Magnetic Couplings for Railway Car,4
11-Jan,Basic Souvenir Box,36
1110-1,Train Wheels,8
111-1,Universal Building Set,173
1111-1,Rubber Rims for Locomotive Wheels,8
111-2,Starter Train Set without Motor,118
1112-1,Train Sliding Wheel Blocks,2
1113-1,Motor Frame and Couplers,5
1114-1,Motor Frame,1
1115-1,4.5V Lighting Brick (2 x 2),1
1116-1,"Chain Links, Small",25
1118-1,"Boat Weight, Red",1
1119-1,Locomotive Piston Assemblies,6
2-Nov,Small Pre-School Basic Set,31
1120-1,Tires (42 mm),2
112-1,Universal Building Set,200
1121-1,"Propellers, Wheels and Rotor Unit",15
112-2,Locomotive with Motor,74
1122-1,Hinges,3
1123-1,"Ball and Socket Couplings, Articulated Joint",8
1124-1,Digger Bucket,3
1125-1,Crane Grab,3
1126-1,"Jack Complete Assembly, Blue",1
1127-1,Santa,39
1128-1,Santa on Skis,21
1129-1,Storage Cloth (Spread Bag),1
1129-2,Santa on Reindeer,34
3-Nov,Locomotive Traction Tires,8
1130-1,Storage Folder for Building Instructions (16 Internal Pockets),1
113-1,Universal Building Set,293
1131-1,Tires (42 mm) and Hubs,4
113-2,Motorized Train Set,344
1132-1,Hinges,8
1133-1,Brick Hinges,8
1134-1,Battery Wagon,2
1135-1,"Battery Cable Kit: 12 Connectors, 3m Cable",13
1135-2,"Battery Cable Kit: 16 Connectors, 3m Cable",17
1135-3,"Battery Cable Kit: 20 Connectors, 3m Cable",21
1136-1,"Buffers, Magnetic Couplers",6
1137-1,Train Couplings,4
1138-1,Replacement Rubber Wheel Treads for Trains,8
1139-1,Motor-Mount Plate with Magnetic Couplers,5
1140-1,12V Light Bricks,2
114-1,Universal Building Set,390
1141-1,Wheel Bricks with Small Red Train Wheels,2
114-2,Small Train Set,88
1142-1,Wheel Bricks with Small Black Train-Wheels,2
1143-1,Wheel Bricks with Large Red Train Wheels,2
1144-1,Train Baseplate,1
1145-1,Bogie Plate,1
1146-1,"Pushrods, Cylinder Housings",6
1147-1,"Light Prisms & Holder, Red/Yellow Light Covers",7
1148-1,Differential,5
1149-1,Air Police,24
1149-2,Bulldozer Chainlinks,52
1150-1,Replacement Motor 12V,1
115-1,Building Set,190
1151-1,Train Power Pick-Up Blocks,2
115-2,Starter Train Set with Motor,132
1152-1,Electric Wire,2
1154-1,Battery Control Unit,1
1160-1,"TECHNIC Pneumatic Tubing, 40cm +100cm",2
116-1,Starter Train Set with Motor,364
1161-1,TECHNIC Pneumatic Pump Cylinder 48mm,1
116-2,Deluxe Motorized Train Set,361
1162-1,TECHNIC Pneumatic Piston Cylinder 48mm,1
